client_code,recomend_product,push_notification
1,Карта для путешествий,"Здравствуйте, Айгерим! Путешествуйте с выгодой. Получайте кешбэк на поездки и такси. Удобно, быстро и выгодно. Оформить карту!"
2,Депозит мультивалютный,"Здравствуйте, Данияр! Максимизируйте доход с мультивалютным депозитом. Получайте проценты на свои сбережения. Начните инвестировать с умом!"
3,Кредитная карта,"Привет, Сабина! Получи до 10% кешбэк на покупки! Льготный период, рассрочка – всё это для твоих нужд. Получи карту прямо сейчас!"
4,Кредитная карта,"Здравствуйте, Тимур! Получите до 10% кешбэк на покупки! Льготный период и рассрочка на любимые товары. Оформить карту сейчас!"
5,Депозит мультивалютный,"Здравствуйте, Камилла! Зарабатывайте на своих сбережениях с мультивалютным депозитом. Проценты и защита от валютных колебаний. Начните зарабатывать!"
6,Кредитная карта,"Здравствуйте, Аян! Получите до 10% кешбэк на покупки. Льготный период и удобная рассрочка. Оформите карту сегодня!"
7,Депозит мультивалютный,"Здравствуйте, Руслан! Получайте проценты с мультивалютного депозита. Защитите свои сбережения от валютных рисков. Начните зарабатывать уже сегодня!"
8,Депозит мультивалютный,"Здравствуйте, Мадина! Начните зарабатывать на своих сбережениях с мультивалютным депозитом. Получайте проценты в разных валютах. Начните прямо сейчас!"
9,Депозит сберегательный,"Здравствуйте, Арман! Получите максимальный доход с сберегательного депозита. Высокие ставки на стабильные сбережения. Оформите депозит сегодня!"
10,Депозит сберегательный,"Здравствуйте, Карина! Увеличьте свои сбережения с нашим сберегательным депозитом. Высокие ставки для стабильного дохода. Начните зарабатывать прямо сейчас!"
11,Депозит мультивалютный,"Здравствуйте, Бауржан! Мы знаем, как важен для вас баланс. Откройте мультивалютный депозит и зарабатывайте проценты на ваших валютных сбережениях. Удобство и выгода всегда с вами."
12,Кредитная карта,"Здравствуйте, Жанар! Получите до 10% кешбэка на покупки. Воспользуйтесь льготным периодом и рассрочкой. Мы всегда рядом, чтобы сделать ваши покупки удобными!"
13,Кредитная карта,"Привет, Алина! Хотите больше бонусов и кешбэка? Откройте кредитную карту и наслаждайтесь покупками с льготным периодом! Мы сделаем ваше будущее ярче!"
14,Кредит наличными,"Здравствуйте, Диас! Вам нужны быстрые деньги с гибкими условиями? Оформите кредит наличными на выгодных условиях. Мы всегда готовы помочь вам в нужный момент."
15,Кредитная карта,"Здравствуйте, Нурия! Получайте до 10% кешбэка на любимые покупки. Льготный период и рассрочка — всё для вашего удобства. Начните использовать возможности прямо сейчас!"
16,Кредитная карта,"Привет, Ерасыл! Хотите больше бонусов и кешбэка? Откройте кредитную карту с льготным периодом и рассрочкой. Не упустите шанс на выгодные покупки!"
17,Кредитная карта,"Здравствуйте, Жанель! Наслаждайтесь кешбэком до 10% и выгодными условиями рассрочки. Ваша карта для комфортных покупок уже ждёт вас!"
18,Депозит накопительный,"Здравствуйте, Санжар! Хотите заработать больше на ваших сбережениях? Откройте накопительный депозит с повышенной ставкой и пополняйте без ограничений!"
19,Обмен валют,"Здравствуйте, Азамат! Экономьте на обмене валют с выгодными курсами. Откройте обмен валют и используйте лучший спред. Сделайте обмен проще и выгоднее!"
20,Обмен валют,"Здравствуйте, Анель! Обмен валют никогда не был таким выгодным. Используйте наш сервис с лучшими курсами. Простой и быстрый способ обмена — рядом с вами!"
21,Депозит мультивалютный,"Здравствуйте, Павел! Инвестируйте в мультивалютный депозит и получайте проценты на ваши средства. Храните валюту с выгодой для себя. Начните прямо сейчас."
22,Кредитная карта,"Привет, Аружан! Откройте кредитную карту с до 10% кешбэком! Получите льготный период и выгодные рассрочки на все покупки. Оформите карту уже сегодня!"
23,Кредитная карта,"Здравствуйте, Темирлан! Оформите кредитную карту с до 10% кешбэком и льготным периодом. Используйте её для онлайн-покупок с выгодой. Подайте заявку прямо сейчас."
24,Кредит наличными,"Здравствуйте, Гульмира! Нужны быстрые деньги? Мы предлагаем кредит наличными с гибкими условиями. Получите нужную сумму быстро и легко. Подайте заявку сейчас."
25,Кредит наличными,"Здравствуйте, Адиль! Откройте кредит наличными с гибкими условиями погашения. Быстрые деньги без лишних вопросов. Оформите заявку на получение средств."
26,Депозит сберегательный,"Здравствуйте, Маржан! Получайте максимальную ставку на сбережения с нашим сберегательным депозитом. Защитите свои средства и зарабатывайте на процентах. Начните сегодня!"
27,Кредитная карта,"Здравствуйте, Нурсултан! Оформите кредитную карту с до 10% кешбэком и льготным периодом. Наслаждайтесь выгодными покупками и рассрочками. Оформите карту прямо сейчас."
28,Кредитная карта,"Здравствуйте, Алтынай! Получите до 10% кешбэка с кредитной картой, а также льготный период на рассрочку. Удобно и выгодно для ваших покупок. Подайте заявку сегодня!"
29,Кредит наличными,"Здравствуйте, Сая! Если вам нужно срочно получить деньги, воспользуйтесь нашим кредитом наличными с гибкими условиями. Получите необходимую сумму быстро. Подайте заявку прямо сейчас."
30,Золотые слитки,"Здравствуйте, Ербол! Защитите свои средства с золотыми слитками. Это надежный актив для хранения ценности. Начните инвестировать в золото прямо сегодня."
31,Кредитная карта,"Здравствуйте, Дамир! Вам подойдёт наша кредитная карта с 10% кешбэком. Получайте бонусы за каждую покупку! Простой и удобный способ оплаты. Оформить карту."
32,Депозит мультивалютный,"Здравствуйте, Алия! Мы предлагаем мультивалютный депозит для вашего баланса. Преимущество – проценты и возможность хранения валют. Попробуйте этот выгодный продукт."
33,Премиальная карта,"Здравствуйте, Мерей! С премиальной картой вы получите до 4% кешбэка и бонусы на рестораны и магазины. Подарите себе удобство и выгодные предложения! Оформить карту."
34,Кредитная карта,Здравствуйте! Мы рекомендуем вам кредитную карту с 10% кешбэком. Простой способ управлять расходами и получать бонусы! Оформить карту.
35,Депозит сберегательный,"Здравствуйте, Самат! Для вашего стабильного остатка мы предлагаем сберегательный депозит с максимальной ставкой. Простой и выгодный способ накоплений. Оформить депозит."
36,Кредитная карта,"Здравствуйте, Назым! Получите до 10% кешбэка с нашей кредитной картой. Рассрочка и льготный период для удобных покупок. Оформить карту."
37,Премиальная карта,"Здравствуйте, Гульнар! Премиальная карта для вашего удобства. Получайте до 4% кешбэка и бонусы на магазины и рестораны. Оформить карту."
38,Инвестиции (брокерский счёт),"Здравствуйте, Серик! Мы предлагаем вам брокерский счёт для выгодных инвестиций. Сниженные комиссии и доступ к рынкам. Начните инвестировать прямо сейчас."
39,Кредитная карта,"Здравствуйте, Ляззат! Воспользуйтесь нашей кредитной картой с 10% кешбэком. Простой способ накопить бонусы и пользоваться рассрочкой. Оформить карту."
40,Кредитная карта,"Здравствуйте, Асхат! Наши кредитные карты с кешбэком до 10% помогут вам экономить на покупках. Получайте бонусы и скидки! Оформить карту."
41,Премиальная карта,"Здравствуйте, Сандугаш! Откройте для себя преимущества нашей премиальной карты. Получите до 4% кешбэка и бонусы на рестораны и косметику. Управляйте финансовыми вопросами с комфортом."
42,Депозит мультивалютный,"Здравствуйте, Рустем! Вам стоит рассмотреть мультивалютный депозит. Заработайте проценты и храните валюту с удобством. Преимущества для вашего стабильного капитала."
43,Кредитная карта,"Привет, Нуртас! Кредитная карта с до 10% кешбэка и рассрочкой — это именно то, что вам нужно! Льготный период и отличные условия. Начните легко управлять своими финансами."
44,Кредит наличными,"Здравствуйте, Айнагуль! Нужно срочно решить финансовые вопросы? Кредит наличными с гибкими погашениями — отличное решение для ваших нужд. Получите деньги быстро и без лишних затрат."
45,Золотые слитки,Здравствуйте! Защитите свой капитал с золотыми слитками. Это надежное вложение в ваше будущее. Подробности по ссылке.
46,Кредит наличными,"Здравствуйте, Арсен! Кредит наличными — это ваш шанс быстро получить деньги с гибкими условиями погашения. Не упустите возможность улучшить финансовую стабильность!"
47,Кредитная карта,"Здравствуйте, Камшат! Получите до 10% кешбэка с нашей кредитной картой! Рассрочка и льготный период позволят вам удобно распоряжаться финансами. Примените прямо сейчас."
48,Кредитная карта,"Привет, Ержан! Откройте для себя возможности нашей кредитной карты. До 10% кешбэка и удобная рассрочка ждут вас. Прокачайте финансовое управление легко!"
49,Инвестиции (брокерский счёт),"Привет, Амина! Инвестируйте в акции с нашим брокерским счетом с низким порогом и сниженной комиссией. Начните зарабатывать на финансовых рынках уже сегодня!"
50,Депозит мультивалютный,"Здравствуйте, Тимурлан! Мультивалютный депозит — это выгодный способ сохранить и приумножить ваш капитал. Проценты и безопасность на высоком уровне. Сделайте шаг к финансовой независимости."
51,Карта для путешествий,"Здравствуйте, Жанат! Откройте карту для путешествий и получайте кешбэк на такси и поездки. Путешествуйте с комфортом и выгодой! Попробуйте прямо сейчас."
52,Депозит мультивалютный,"Здравствуйте, Милана! Для вашего стабильного баланса идеально подойдет мультивалютный депозит. Вы будете получать проценты на свои сбережения. Откройте его сегодня!"
53,Карта для путешествий,"Привет, Расул! Хотите кешбэк на поездки и такси? Карта для путешествий – ваш лучший помощник! Путешествуйте с выгодой. Попробуйте прямо сейчас!"
54,Депозит мультивалютный,"Здравствуйте, Виктория! Мультивалютный депозит – выгодное решение для ваших сбережений. Получайте проценты и храните валюту с комфортом. Откройте сегодня!"
55,Депозит сберегательный,"Здравствуйте, Асель! Сберегательный депозит с максимальной ставкой идеально подойдет для ваших стабильных сбережений. Начните зарабатывать проценты прямо сейчас!"
56,Кредит наличными,"Здравствуйте, Нуркен! Вам нужно быстрое решение? Кредит наличными с гибким погашением поможет вам решить финансовые вопросы. Получите деньги прямо сейчас!"
57,Депозит сберегательный,"Здравствуйте, Жания! Откройте сберегательный депозит с максимальной ставкой. Пусть ваши деньги работают на вас. Начните зарабатывать проценты прямо сейчас!"
58,Кредит наличными,"Здравствуйте, Султан! Нужно срочно решение для ваших финансов? Кредит наличными с гибким погашением — идеальный вариант для вас. Обратитесь прямо сейчас!"
59,Депозит сберегательный,"Здравствуйте, Динара! Для вашего стабильного остатка идеально подойдёт сберегательный депозит с высокой ставкой. Начните зарабатывать на своих сбережениях!"
60,Кредит наличными,"Здравствуйте, Ермек! Нужен быстрый кредит с гибким погашением? Мы предложим вам удобные условия. Получите деньги на нужды прямо сейчас!"
